Name ru,Name en,Transliterations,Countries,DOB,Gender,Description,Tags
Нефёдов Олег Николаевич,Nefedov Oleg Nikolaevich,,,01.08.1974,M,"Judge of the Supreme Court of Russia since 2017, Chairman of the Judicial Composition of the First Instance of the Judicial Collegium for Administrative Cases of the Supreme Court of the Russian Federation since 2023. Systematically makes unjust, politically motivated decisions as part of the Russian authorities' repressive campaigns. He made deliberately unjust decisions on the ban on the “LGBTQ movement” in Russia, on prisoners’ access to written documents in Alexei Navalny's lawsuit and on challenging the refusal to register Ekaterina Duntsova’s initiative group to participate in the Russian presidential elections in 2024.",Organizers of political repressions
Лучников Владимир Владимирович,Luchnikov Vladimir Vladimirovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Чайвын Вадим Викторович,Chayvyn Vadim Viktorovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Черненко Елена Васильевна,Chernenko Elena Vasilievna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Эрк Алексей Алоисович,Erk Alexey Aloisovich,,,23.12.1977,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Фатхутдинов Салават Закиевич,Fatkhutdinov Salavat Zakievich,,,10.01.1960,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Федотова Ирина Павловна,Fedotova Irina Pavlovna,,,28.08.1976,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Рублевская Светлана Андреевна,Rublevskaya Svetlana Andreevna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Рыбаков Денис Валериевич,Rybakov Denis Valerievich,,,20.03.1975,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сдобнов Максим Николаевич,Sdobnov Maxim Nikolaevich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сердюкова Ольга Владимировна,Serdyukova Olga Vladimirovna,,,05.06.1978,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сериков Антон Владимирович,Serikov Anton Vladimirovich,,,12.08.,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Шачнев Сергей Александрович,Shachnev Sergey Alexandrovich,,,21.09.1972,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
